Country,"Under-5 mortality rate (deaths per 1,000 live births) 2018",Life expectancy: female 2018,GDP per capita (current US$) 2018,At least basic drinking water services (%) 2017,At least basic sanitation services (%) 2017
Afghanistan,62,66,556.3,67,43
Albania,9,80,4532.9,91,98
Algeria,23,78,4048.3,94,88
Andorra,3,,39134.4,100,100
Angola,77,64,4095.8,56,50
Anguilla,,,,97,97
Antigua and Barbuda,6,78,15824.7,97,88
Argentina,10,80,14591.9,,
Armenia,12,78,3914.5,100,94
Australia,4,85,54093.6,100,100
Austria,4,84,47380.8,100,100
Azerbaijan,22,75,4147.1,91,93
Bahamas,10,76,31857.9,99,95
Bahrain,7,78,23715.5,100,100
Bangladesh,30,74,1564,97,48
Barbados,12,80,16327.6,98,97
Belarus,3,79,5761.7,96,98
Belgium,4,84,43507.2,100,99
Belize,13,78,4956.8,98,88
Benin,93,63,827.4,66,16
Bhutan,30,72,3390.7,97,69
Bolivia (Plurinational State of),27,74,3351.1,93,61
Bosnia and Herzegovina,6,80,5394.6,96,95
Botswana,36,72,7893.7,90,77
Brazil,14,79,9880.9,98,88
British Virgin Islands,,,,100,
Brunei Darussalam,12,77,28572.1,100,
Bulgaria,7,79,8228,99,86
Burkina Faso,76,62,642,48,19
Burundi,58,63,293,61,46
Cabo Verde,19,76,3295.3,87,74
Cambodia,28,72,1385.3,79,59
Cameroon,76,60,1421.6,60,39
Canada,5,84,45069.9,99,99
Central African Republic,116,55,471.6,,
Chad,119,55,664.3,39,8
Chile,7,82,15037.4,100,100
China,9,79,8759,93,85
Colombia,14,80,6375.9,97,90
Comoros,67,66,1312.4,80,36
Congo,50,66,1702.6,73,20
Cook Islands,8,,,100,98
Costa Rica,9,83,11752.5,100,98
Côte d'Ivoire,81,59,1557.2,73,32
Croatia,5,81,13383.7,100,97
Cuba,5,81,8541.2,95,93
Cyprus,2,83,25760.8,100,99
Czechia,3,82,20379.9,100,99
Democratic People's Republic of Korea,18,76,,95,83
Democratic Republic of the Congo,88,62,467.1,43,20
Denmark,4,83,57218.9,100,100
Djibouti,59,69,1953.9,76,64
Dominica,36,,6951.3,,
Dominican Republic,29,77,7222.6,97,84
Ecuador,14,80,6213.5,94,88
Egypt,21,74,2440.5,99,94
El Salvador,14,78,3902.2,97,87
Equatorial Guinea,85,60,9738.4,65,66
Eritrea,42,68,811.4,,
Estonia,3,83,20200.4,100,99
Eswatini,54,64,3941.9,69,58
Ethiopia,55,68,768,41,7
Fiji,26,69,6006.4,94,95
